UniProt	Genes of a reaction from All instances of Reactions in Prochlorococcus marinus pastoris CCMP1986	Matches	EC-Number	Accession-1	Accession-2	Gene products (polypeptides and RNAs only)
Q7V0A5	PMM1364	UDP-N-acetyl-alpha-D-muramoyl-L-alanine + D-glutamate + ATP  ->  UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate + ADP + phosphate + H+	EC-6.3.2.9	PMM1364	TX50_RS07320	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
Q7V093	PMM1377	an alcohol + NADP+  <-  an aldehyde + NADPH + H+	EC-1.1.1.2	PMM1377	TX50_RS07400	aldehyde reductase
Q7TU50	PMM1400	a sialyloligosaccharide + H2O  ->  an oligosaccharide + N-acetylneuraminate	EC-3.2.1.18	PMM1400	TX50_RS07530	Possible Hemagglutinin-neuraminidase
Q7TU48	PMM1410	an [HPr protein]-Npi-phospho-L-histidine + lactose[periplasm]  ->  lactose 6'-phosphate[cytosol] + an [HPr]-L-histidine // an [HPr protein]-Npi-phospho-L-histidine + D-cellobiose[periplasm]  ->  D-cellobiose 6'-phosphate[cytosol] + an [HPr]-L-histidine	EC-2.7.1.207 // EC-2.7.1.205	PMM1410	TX50_RS07585	lactose/cellobiose PTS transporter
Q7TU47	PMM1418	chloride[cytosol]  ->  chloride[periplasm]		PMM1418	TX50_RS07640	voltage-gated chloride channel
Q7V044	PMM1444	GTP + H2O  ->  GDP + phosphate + H+	EC-3.6.1.15 // EC-3.6.5.6 // EC-3.6.5.5 // EC-3.6.5.4 // EC-3.6.5.3 // EC-3.6.5.2 // EC-3.6.5.1 // EC-3.6.1	PMM1444	TX50_RS07770	Membrane associated GTPase
Q7V015	PMM1476	3,5,7,9,11,13,15-hepta-oxo-hexadecanoyl-[PKS-acp] + NADPH + H+  ->  9-hydroxy-3,5,7,11,13,15-hexaoxohexadecanoyl-[PKS-acp] + NADP+	EC-1.3.1	PMM1476	TX50_RS07930	aldo/keto reductase
Q7V014	PMM1477	gamma-glutamyl-isopropylamide + NAD(P)H + oxygen + H+  ->  N-(gamma-L-glutamyl)-L-alaninol + NAD(P)+ + H2O		PMM1477	TX50_RS07935	ferredoxin
Q7UZZ7	PMM1496	a dolichyl beta-D-mannosyl phosphate + a [protein]-(L-serine/L-threonine)  ->  a dolichyl phosphate + 3-O-(alpha-D-mannosyl)-(Ser/Thr)-[protein] + H+	EC-2.4.1.109	PMM1496	TX50_RS08030	dolichyl-phosphate-mannose--protein mannosyltransferase
Q7UZU4	PMM1561	an (S)-2-halocarboxylate + H2O  ->  an (S)-2-hydroxycarboxylate + a halide anion + H+ // an (S)-2-halocarboxylate + H2O  ->  a (2R)-2-hydroxyfatty acid + a halide anion + H+ // an (R)-2-halocarboxylate + H2O  ->  an (S)-2-hydroxycarboxylate + a halide anion + H+ // an (R)-2-halocarboxylate + H2O  ->  a (2R)-2-hydroxyfatty acid + a halide anion + H+	EC-3.8.1.11 // EC-3.8.1.10 // EC-3.8.1.2 // EC-3.8.1.9	PMM1561	TX50_RS08360	HAD family hydrolase
Q7UZU1	PMM1564	ATP + supercoiled duplex DNA + H2O  ->  ADP + 2 single stranded DNA + phosphate + H+	EC-5.6.2.4	PMM1564	TX50_RS08375	DNA helicase
Q7UZT5	PMM1570	[corrinoid adenosyltransferase] + cob(II)alamin  ->  cob(II)alamin-[corrinoid adenosyltranferase] // cob(II)inamide + [corrinoid adenosyltransferase]  ->  [corrinoid adenosyltranferase]-cob(II)inamide // cob(I)alamin-[corrinoid adenosyltranferase] + ATP  ->  adenosylcob(III)alamin-[corrinoid adenosyltranferase] + triphosphate // adenosylcob(III)alamin-[corrinoid adenosyltranferase]  ->  [corrinoid adenosyltransferase] + adenosylcobalamin // 2 ATP + [reduced flavoprotein] + 2 cob(II)alamin  ->  2 triphosphate + [oxidized flavoprotein] + 2 adenosylcobalamin + 2 H+ // 2 ATP + 2 [corrinoid adenosyltranferase]-cob(I)inamide  ->  2 adenosylcobinamide + 2 triphosphate + 2 [corrinoid adenosyltransferase] // 2 ATP + 2 cob(II)inamide + [reduced flavoprotein]  ->  2 adenosylcobinamide + 2 triphosphate + [oxidized flavoprotein] + 2 H+	EC-2.5.1.17	PMM1570	TX50_RS08405	cob(I)yrinic acid a,c-diamide adenosyltransferase
Q7UZT3	PMM1572	S-adenosyl-L-methionine + H+  ->  CO2 + S-adenosyl 3-(methylsulfanyl)propylamine	EC-4.1.1.50	PMM1572	TX50_RS08415	adenosylmethionine decarboxylase
Q7UZR0	PMM1598	beta-D-galactopyranose  ->  alpha-D-galactopyranose // alpha-D-glucopyranose  <-->  beta-D-glucopyranose	EC-5.1.3.3	PMM1598	TX50_RS08550	galactose mutarotase
Q7UZQ8	PMM1600	sodium:proton antiport		PMM1600	TX50_RS08560	sodium:proton antiport
Q7UZP5	PMM1613	an N-acylated aliphatic-L-amino acid + H2O  ->  a carboxylate + an aliphatic L-amino acid	EC-3.5.1.14	PMM1613	TX50_RS08630	Probable N-acyl-L-amino acid amidohydrolase
Q7UZI2	PMM1683	ATP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine  ->  ADP + 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + phosphate + H+	EC-6.3.3.1	PMM1683	TX50_RS08985	AIR synthase
Q7UZG6	PMM1701	chloride:proton antiport		PMM1701	TX50_RS09080	H+/Cl- antiporter
Q7V0R5	pnp	(ribonucleotides)(n) + phosphate  =  (ribonucleotides)(n-1) + a nucleoside diphosphate	EC-2.7.7.8	PMM1191	TX50_RS06425	polyribonucleotide nucleotidyltransferase
Q7V0V6	pntA	NADPH + NAD+ + H+[in]  <-->  NADP+ + NADH + H+[out]	EC-7.1.1.1	PMM1146	TX50_RS06175	NAD/NADP transhydrogenase alpha subunit
Q7V0V7	pntB	NADPH + NAD+ + H+[in]  <-->  NADP+ + NADH + H+[out]	EC-7.1.1.1	PMM1145	TX50_RS06170	NAD/NADP transhydrogenase beta subunit
Q7V0W2	polA	a 2'-deoxyribonucleoside 5'-triphosphate + [DNA]  ->  (deoxynucleotides)(n+1) + 2 phosphate // a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n)  ->  (deoxynucleotides)(n+1) + diphosphate	EC-2.7.7.7	PMM1140	TX50_RS06145	DNA polymerase I
Q7V2D8	por	chlorophyllide a2 + NADP+  <-  3,8-divinyl protochlorophyllide a + hnu + NADPH + H+	EC-1.3.1.33	PMM0542	TX50_RS02900	Light dependent protochlorophyllide oxido-reductase
Q7V253	por	chlorophyllide a2 + NADP+  <-  3,8-divinyl protochlorophyllide a + hnu + NADPH + H+	EC-1.3.1.33	PMM0634	TX50_RS03365	Light dependent protochlorophyllide oxido-reductase
Q7UZT0	ppc	oxaloacetate + phosphate  <-  phosphoenolpyruvate + hydrogencarbonate	EC-4.1.1.31	PMM1575	TX50_RS08435	phosphoenolpyruvate carboxylase
Q7TU17	ppk	ATP + (polyphosphate)(n)  <-->  ADP + (polyphosphate)(n+1)	EC-2.7.4.1	PMM1696	TX50_RS09055	polyphosphate kinase
Q7V2L8	ppx	(polyphosphate)(n) + H2O  ->  (polyphosphate)(n-1) + phosphate	EC-3.6.1.11	PMM0457	TX50_RS02460	exopolyphosphatase
Q7V2Y2	prmC	a [release factor]-L-glutamine + S-adenosyl-L-methionine  ->  a [release factor]-N5-methyl-L-glutamine + S-adenosyl-L-homocysteine + H+	EC-2.1.1.297	PMM0318	TX50_RS01650	peptide chain release factor N(5)-glutamine methyltransferase
Q7V1R7	proB	L-glutamate + ATP  ->  gamma-L-glutamyl 5-phosphate + ADP	EC-2.7.2.11	PMM0788	TX50_RS04205	glutamate 5-kinase
Q7V2S1	proC	L-proline + NAD(P)+  <-  (S)-1-pyrroline-5-carboxylate + NAD(P)H + 2 H+	EC-1.5.1.2	PMM0396	TX50_RS02130	Pyrroline-5-carboxylate reductase
Q7V2H0	proS	tRNAPro + L-proline + ATP  ->  L-prolyl-[tRNAPro] + AMP + diphosphate	EC-6.1.1.15	PMM0508	TX50_RS02730	proline--tRNA ligase
Q7V111	prsA	D-ribose 5-phosphate + ATP  ->  5-phospho-alpha-D-ribose 1-diphosphate + AMP + H+	EC-2.7.6.1	PMM1080	TX50_RS05800	ribose-phosphate pyrophosphokinase
Q9RC08	psaA	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM1524	TX50_RS08170	Photosystem I P700 chlorophyll A apoprotein A1 PsaA
Q9RC07	psaB	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM1523	TX50_RS08165	Photosystem I P700 chlorophyll A apoprotein A2 PsaB
Q7UZQ1	psaC	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM1607	TX50_RS08600	Photosystem I iron-sulfur center subunit VII PsaC
Q7UZS7	psaD	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM1578	TX50_RS08450	Photosystem I reaction center subunit II PsaD
Q7V2X3	psaE	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM0329	TX50_RS01735	Photosystem I reaction centre subunit IV PsaE
Q7V2K7	psaF	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM0469	TX50_RS02520	Photosystem I reaction centre subunit III precursor (PSI-F)
Q7UZX5	psaI	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM1520	TX50_RS08150	photosystem I reaction center subunit VIII
Q7V2K8	psaJ	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM0468	TX50_RS02515	photosystem I reaction center subunit IX
Q7V1G7	psaK	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM0906	TX50_RS04840	Photosystem I reaction center subunit PsaK
Q7UZX6	psaL	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM1519	TX50_RS08145	Photosystem I reaction centre subunit XI PsaL
Q7V2E0	psaM	RXN-15490 // oxidized plastocyanin[in] + reduced ferredoxin [iron-sulfur] cluster[out]  <-  hnu + reduced plastocyanin[in] + oxidized ferredoxin [iron-sulfur] cluster[out] // oxidized plastocyanin[in] + e-[membrane]  ->  reduced plastocyanin[in] // oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]	EC-1.97.1.12	PMM0540	TX50_RS02890	photosystem I reaction center subunit XII
Q7V365	psbA	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0223	TX50_RS01150	photosystem II reaction center D1
Q7V2Y4	psbB	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0315	TX50_RS01635	photosystem II chlorophyll-binding protein CP47
Q93P09	psbC	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM1158	TX50_RS06245	photosystem II chlorophyll-binding protein CP43
Q93P10	psbD	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM1157	TX50_RS06240	Photosystem II reaction center D2
Q7V300	psbE	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0297	TX50_RS01540	Cytochrome b559 alpha subunit PsbE
Q7V2Z9	psbF	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0298	TX50_RS01545	Cytochrome b559 beta chain PsbF
Q7V341	psbH	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0251	TX50_RS01300	Photosystem II 10 kDa phosphoprotein PsbH
Q7V339	psbI	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0253	TX50_RS01310	Photosystem II protein PsbI
Q7V2Z7	psbJ	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0300	TX50_RS01550	Photosystem II protein J PsbJ
Q7V323	psbK	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0272	TX50_RS01410	photosystem II reaction center protein K
Q7V2Z8	psbL	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0299	TX50_RS09245	photosystem II reaction center protein L
Q7TUF5	psbM	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0317	TX50_RS01645	Photosystem II protein M PsbM
Q7V340	psbN	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0252	TX50_RS01305	photosystem II reaction center protein PsbN
Q7V360	psbO	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0228	TX50_RS01175	Photosystem II manganese-stabilizing protein PsbO
Q7V0Z6	psbP	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM1098	TX50_RS05890	Photosystem II protein P PsbP
Q7V2Y5	psbT	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0314	TX50_RS01630	photosystem II reaction center protein T
Q7TU94	psbW	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM0926	TX50_RS04940	photosystem II reaction center protein Psb28
	psbX	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9			photosystem II reaction center X protein
P59907	psbY	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM1117	TX50_RS05985	photosystem II protein Y
Q7TU23	psbZ	RXN-15490 // oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in] // 2 a plastoquinol[membrane] + 4 H+[in] + oxygen[in]  <-  hnu + 2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3 // EC-1.10.3.9	PMM1644	TX50_RS08790	photosystem II core protein PsbZ
Q7V1X4	pstA	ATP + phosphate[periplasm] + H2O  ->  ADP + phosphate[cytosol] + phosphate[cytosol] + H+		PMM0724	TX50_RS03870	ABC-type phosphate transporter, permease component
Q7V1X3	pstB	ATP + phosphate[periplasm] + H2O  ->  ADP + phosphate[cytosol] + phosphate[cytosol] + H+		PMM0725	TX50_RS03875	ABC-type phosphate transporter, ATP-binding protein component
Q7V1X5	pstC	ATP + phosphate[periplasm] + H2O  ->  ADP + phosphate[cytosol] + phosphate[cytosol] + H+		PMM0723	TX50_RS03865	ABC-type phosphate transporter, permease component
Q7V2W8	ptoX	oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // a plastoquinone[membrane] + 2 H+[out] + 2 e-[membrane]  ->  a plastoquinol[membrane] // 2 a plastoquinol[membrane] + oxygen[in] + 4 H+[in]  ->  2 a plastoquinone[membrane] + 4 H+[out] + 2 H2O[in]	EC-1.1.3	PMM0336	TX50_RS01770	plastoquinol terminal oxidase
Q7TU40	purB	adenylo-succinate  ->  fumarate + AMP // 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  ->  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide // 2-amino-2'-deoxy-N6-[(2S)-succino]adenylate  ->  dZMP + fumarate	EC-4.3.2.2	PMM1465	TX50_RS07875	adenylosuccinate lyase
Q7V0C7	purC	ATP + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + L-aspartate  ->  ADP + 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole + phosphate + H+	EC-6.3.2.6	PMM1339	TX50_RS07185	phosphoribosylaminoimidazolesuccinocarboxamide synthase
